cq_id,domain,clause,excerpt,question,cco_elements,dup_of,dup_score,dup_stage
CQ001,Healthcare,Article 1,"conveyance operator means a natural or legal person in charge of a conveyance or their agent""",Which regulation specifies a norm that applies to the role of a conveyance operator?,"cco:Norm, cco:Regulation, cco:Role, cco:appliesToRole, cco:specifiesNorm",,,
CQ002,Healthcare,Article 1,"public health emergency of international concern means an extraordinary event which is determined... to constitute a public health risk to other States""",What action is required by a norm that applies under the condition of a public health emergency of international concern?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",,,
CQ003,Healthcare,Article 2,"prevent, prepare for, protect against, control and provide a public health response to the international spread of disease""",Which resources are regulated by a regulation that has validity starting on a specific date?,"cco:Regulation, cco:Resource, cco:hasValidityStart, cco:regulates",,,
CQ004,Healthcare,Article 2,"The purpose and scope of these Regulations are to prevent, prepare for, protect against, control and provide a public health response...""",What type of norm is issued by a regulatory authority agent through a regulation?,"cco:Norm, cco:Regulation, cco:RegulatoryAuthorityAgent, cco:appliesUnder, cco:issues, cco:specifiesNorm",,,
CQ005,Healthcare,Article 1,"inspection means the examination, by the competent authority or under its supervision, of areas, baggage, containers, conveyances...""",Which role is required to perform the action of inspection according to a norm specified in the regulation?,"cco:Norm, cco:Role, cco:appliesToRole, cco:hasAction",,,
CQ006,Healthcare,Article 1,"isolation means separation of ill or contaminated persons or affected baggage, containers, conveyances, goods or postal parcels from others...""",What resource is the object of a norm that mandates isolation as an action?,"cco:Norm, cco:Resource, cco:hasAction, cco:hasObject",,,
CQ007,Healthcare,Article 1,"quarantine means the restriction of activities and/or separation from others of suspect persons who are not ill...""",Which condition must be satisfied for a norm involving quarantine to apply?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ008,Healthcare,Article 1,"point of entry means a passage for international entry or exit of travellers, baggage, cargo, containers, conveyances, goods and postal parcels...""",What is the start date of applicability for an obligation related to health measures at points of entry?,"cco:Obligation, cco:hasAction, cco:hasObject",,,
CQ009,Healthcare,Article 2,"The purpose and scope of these Regulations are to prevent, prepare for, protect against, control and provide a public health response...""",Which regulation supersedes another regulation with a known validity end date?,"cco:Regulation, cco:hasValidityEnd, cco:supersedes",,,
CQ010,Healthcare,Article 1,"traveller means a natural person undertaking an international voyage""",What action is associated with a permission that applies to the role of a traveller?,"cco:Permission, cco:Role, cco:appliesToRole, cco:hasAction",,,
CQ011,Healthcare,Article 1,"container loading area means a place or facility set aside for containers used in international traffic""",Which agent is allocated to a resource such as a container loading area?,"cco:Agent, cco:Resource, cco:allocatedTo",,,
CQ012,Healthcare,Article 1,"affected means persons, baggage, cargo, containers, conveyances, goods, postal parcels or human remains that are infected or contaminated...""",What exception modifies a prohibition that restricts movement of affected cargo?,"cco:Exception, cco:Prohibition, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ013,Healthcare,Article 1,"decontamination means a procedure whereby health measures are taken to eliminate an infectious or toxic agent or matter on... conveyances...""",What is the end date of applicability for a norm that requires decontamination of conveyances?,"cco:Norm, cco:Resource, cco:hasAction, cco:hasObject",,,
CQ014,Healthcare,Article 1,"surveillance means the systematic ongoing collection, collation and analysis of data for public health purposes...""",Which regulation specifies an obligation that has an action of surveillance?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",,,
CQ015,Healthcare,Article 1,"pandemic emergency means a public health emergency of international concern that is caused by a communicable disease and: (i) has, or is at high risk of having, wide geographical spread...""",What condition is expressed in natural language for a norm that applies during a pandemic emergency?,"cco:ConditionExpression, cco:appliesUnder",,,
CQ016,Healthcare,Article 4.1,"Each State Party shall designate or establish, in accordance with its national law and context, one or two entities to serve as National IHR Authority and National IHR Focal Point...""",Which regulation specifies an obligation for each State Party to designate or establish a National IHR Authority and National IHR Focal Point?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,,
CQ017,Healthcare,Article 4.1,"the authorities responsible within its respective jurisdiction for the implementation of health measures under these Regulations.""",What role is required to implement health measures under the IHR according to the specified obligation?,"cco:Obligation, cco:appliesToRole",,,
CQ018,Healthcare,Article 4.2,"National IHR Focal Points shall be accessible at all times for communications with the WHO IHR Contact Points...""",What action is required of the National IHR Focal Point regarding communication with WHO IHR Contact Points?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ019,Healthcare,Article 4.2(b),"disseminating information to, and consolidating input from, relevant sectors of the administration of the State Party concerned...""",What obligation do National IHR Focal Points have regarding dissemination of information within the State Party's administration?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ020,Healthcare,Article 4.2bis,"States Parties shall take measures to implement paragraphs 1, 1 bis and 2 of this Article, including, as appropriate, adjusting their domestic legislative and/or administrative arrangements.""","Which regulation specifies the obligation for States Parties to take measures to implement Articles 4.1, 4.1bis, and 4.2, including adjusting domestic legislative arrangements?","cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",,,
CQ021,Healthcare,Article 4.3,"WHO shall designate IHR Contact Points, which shall be accessible at all times for communications with National IHR Focal Points.""",What obligation does WHO have regarding the designation of IHR Contact Points?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ022,Healthcare,Article 4.4,"States Parties shall provide WHO with contact details of their National IHR Authority and their National IHR Focal Point...""",What obligation do States Parties have regarding the provision of contact details for their National IHR Authority and Focal Point?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ023,Healthcare,Article 4.4,"WHO shall provide States Parties with contact details of WHO IHR Contact Points. These contact details shall be continuously updated and annually confirmed.""",What obligation does WHO have regarding the provision of contact details for WHO IHR Contact Points?,"cco:Obligation, cco:hasAction",,,
CQ024,Healthcare,Article 5.1,"Each State Party shall develop, strengthen and maintain, as soon as possible but no later than five years from the entry into force of these Regulations...""",What obligation does each State Party have regarding the development and maintenance of core public health capacities?,"cco:Obligation, cco:hasAction",,,
CQ025,Healthcare,Article 5.2,"a State Party may report to WHO on the basis of a justified need and an implementation plan and, in so doing, obtain an extension of two years...""",What condition allows a State Party to obtain a two-year extension for fulfilling the core capacity obligation?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
