cq_id,domain,clause,excerpt,question,cco_elements,dup_of,dup_score,dup_stage
CQ001,Data Protection,Article 1,"This Regulation is intended to contribute to the accomplishment of an area of freedom, security and justice...""",Which regulation specifies norms related to the protection of personal data for natural persons?,"cco:Regulation, cco:specifiesNorm",,,
CQ002,Data Protection,Article 1,"This Regulation is intended to contribute to the accomplishment of an area of freedom, security and justice...""",What is the start date of validity for the Regulation on the protection of personal data?,"cco:Regulation, cco:hasValidityStart",,,
CQ003,Data Protection,Article 1,"This Regulation is intended to contribute to the accomplishment of an area of freedom, security and justice...""",Does the Regulation specify an end date for its validity?,"cco:Regulation, cco:hasValidityEnd",,,
CQ004,Data Protection,Article 15,"The protection of natural persons should apply to the processing of personal data by automated means...""",Which norms in the Regulation apply to the processing of personal data by automated means?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ005,Data Protection,Article 15,"The protection of natural persons should apply... to manual processing, if the personal data are contained... in a filing system.""",Which norms in the Regulation apply to manual processing of personal data contained in a filing system?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ006,Data Protection,Article 15,"Files or sets of files... which are not structured according to specific criteria should not fall within the scope...""",Are there conditions under which the processing of personal data falls outside the scope of this Regulation due to being unstructured?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ007,Data Protection,Article 16,"This Regulation does not apply to issues... which fall outside the scope of Union law, such as activities concerning national security.""",Which norms are specified by the Regulation that do not apply to processing activities outside the scope of Union law?,"cco:Condition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",,,
CQ008,Data Protection,Article 16,"This Regulation does not apply to the processing of personal data by the Member States when carrying out activities in relation to the common foreign and security policy...""",Which norms in the Regulation exclude processing by Member States related to the common foreign and security policy?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ009,Data Protection,Article 18,"This Regulation does not apply to the processing of personal data by a natural person in the course of a purely personal or household activity...""",Does the Regulation specify any norms that do not apply to purely personal or household activities?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ010,Data Protection,Article 18,"This Regulation applies to controllers or processors which provide the means for processing personal data for such personal or household activities.""",Are there norms in the Regulation that apply to controllers or processors providing means for personal or household activities?,"cco:Permission, cco:Resource, cco:appliesToRole, cco:hasObject",,,
CQ011,Data Protection,Article 19,"This Regulation should not, therefore, apply to processing activities for those purposes.""","Which norms in the Regulation do not apply to processing for prevention, investigation, or prosecution of criminal offences?","cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ012,Data Protection,Article 10,"Regarding the processing of personal data for compliance with a legal obligation... Member States should be allowed to maintain or introduce national provisions to further specify the application...""",Can Member States introduce national provisions to further specify the application of the rules of this Regulation for processing in the public interest?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",,,
CQ013,Data Protection,Article 10,"This Regulation does not exclude Member State law that sets out the circumstances for specific processing situations, including determining more precisely the conditions under which the processing of personal data is lawful.""",Does the Regulation allow Member States to determine more precisely the conditions under which processing of personal data is lawful?,"cco:Exception, cco:Norm, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ014,Data Protection,Article 13,"To take account of the specific situation of micro, small and medium-sized enterprises, this Regulation includes a derogation for organisations with fewer than 250 employees with regard to record-keeping.""",Is there a derogation in the Regulation regarding record-keeping for organisations with fewer than 250 employees?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,,
