cq_id,domain,clause,excerpt,question,cco_elements,dup_of,dup_score
CQ001,Education,23,"The provider must ensure that both the learner and the programme are eligible for funding by conducting an initial assessment.""",Which obligation requires providers to conduct an initial assessment to verify learner and programme eligibility for funding?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",,
CQ002,Education,"23.1, 23.2, 23.3, 23.4","The initial assessment must include an assessment of: 23.1. Learner eligibility; 23.2. Programme eligibility... 23.3. Learning support; 23.4. English and maths support.""",What actions are included in the initial assessment required of providers under the funding rules?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ003,Education,24,"The provider must also discuss the areas listed in paragraphs 60 to 62 before accessing apprenticeship funding.""",Which obligation applies to providers regarding discussion with employers and apprentices before accessing apprenticeship funding?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,
CQ004,Education,25.1,"A provider must only claim funding for an individual who meets the residency eligibility criteria set out in Annex A.""",What condition must be met for an individual to be eligible for apprenticeship funding based on residency?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ005,Education,25.2,"We will use the age of the apprentice on the day they start their apprenticeship training... for all age-based eligibility criteria.""",When does an apprentice’s age for eligibility determination occur?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ006,Education,25.3,"If an apprentice is made redundant, we may continue to fund their training, even if they cannot find another employer.""",Under what condition can funding continue for an apprentice who becomes unemployed?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ007,Education,25.4,"A provider must reassess an individual’s eligibility for any new apprenticeship.""",Is a provider required to reassess eligibility when an individual starts a new apprenticeship?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ008,Education,26.1,"Starts their apprenticeship after the last Friday in June of the school academic year... in which they have their 16th birthday.""",What condition must be met regarding the start date of an apprenticeship for funding eligibility?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ009,Education,26.2,"If the provider knows an individual is unable to complete the apprenticeship in the time they have available... they must not be funded.""",What condition disqualifies an individual from funding due to inability to complete the apprenticeship within available time?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ010,Education,26.4,"Does not benefit from funding for any part of their apprenticeship that duplicates training or assessment that they have received from any other source.""",Is it prohibited to fund an apprenticeship that duplicates training received from another source?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ011,Education,26.5,"Spends at least 50% of their working hours in England over the duration of the apprenticeship.""",What condition must be satisfied regarding the apprentice’s working hours in England for funding eligibility?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ012,Education,26.5.1,"For working hours to be counted in the 50% limit, they must be regular, planned and known at the start of the apprenticeship.""",Must the working hours counted toward the 50% rule be regular and planned?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ013,Education,26.5.2,"The provider must make separate arrangements with the relevant devolved administration for those who do not meet this rule.""",What obligation does a provider have if an apprentice does not meet the 50% working hours rule in England?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ014,Education,27,"An employer must only use funds from their apprenticeship service account... for apprentices employed by them or a connected company or charity.""",Which employers are allowed to use funds from their apprenticeship service account?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ015,Education,27.1,"As an exception to paragraph 27, employers who operate Pooled PAYE schemes may use funds... for apprentices employed by an organisation within their Pooled PAYE scheme.""",Is there an exception allowing pooled PAYE scheme employers to use apprenticeship funds for apprentices in their scheme?,"cco:Exception, cco:Permission, cco:appliesToRole, cco:hasAction, cco:hasCondition, cco:hasException, cco:hasObject, cco:modifiesNorm",,
