cq_id,domain,clause,excerpt,question,cco_elements,llm_model,llm_assessment,llm_reason,human_review
CQ029,Data Protection,Article 4,"The principles of data protection should apply to any information concerning an identified or identifiable natural person.""",What type of information is covered by the data protection principles according to this regulation?,"cco:Condition, cco:Norm, cco:Resource, cco:appliesUnder, cco:hasConditionExpression, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a condition for the application of data protection principles to a resource (information about a person), which can be represented using CCO's Condition, Norm, Resource, appliesUnder, hasConditionExpression, and hasObject properties.",Yes
CQ039,Data Protection,Article 4,"The main establishment of a controller in the Union should be the place of its central administration in the Union, unless the decisions on the purposes and means of the processing... are taken in another establishment...""",What determines the main establishment of a controller in the Union?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a conditional norm regarding the determination of a controller's main establishment, which can be represented using CCO's Condition and Norm classes with appliesUnder and hasConditionExpression properties.",Yes
CQ042,Data Protection,Article 5,"time limits should be established by the controller for erasure or for a periodic review""",What action is required of the controller regarding the storage period of personal data?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation for the controller (a role) to perform an action (establishing time limits) on a resource (personal data), which can be represented using the specified CCO elements.",No
CQ048,Data Protection,Article 6,"processing should also be regarded to be lawful where it is necessary to protect an interest which is essential for the life of the data subject or that of another natural person""",Which norm allows processing when it is necessary to protect the vital interests of the data subject or another natural person?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a permission with a specific condition, which can be represented using CCO's Permission class, appliesUnder property linking to a Condition with the necessary expression.",Yes
CQ050,Data Protection,Article 6,"The processing of personal data for direct marketing purposes may be regarded as carried out for a legitimate interest.""",Which regulation specifies a norm that allows processing for direct marketing purposes under legitimate interest?,"cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission for processing personal data under legitimate interest, which can be represented using CCO's Permission class, appliesUnder property for the condition, and hasAction for the processing activity, all within a Regulation.",No
CQ053,Data Protection,Article 5,"time limits should be established by the controller for erasure or for a periodic review""",Which regulation issues a norm requiring time limits for erasure or periodic review of personal data?,"cco:Obligation, cco:Regulation, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation for controllers to establish time limits, which can be represented using CCO classes and properties, including Obligation, hasAction, and appliesToRole for the controller role.",No
CQ054,Data Protection,Article 5,"Personal data should be processed in a manner that ensures appropriate security and confidentiality of the personal data...""",What resource is subject to processing under the obligation to ensure appropriate security?,"cco:Obligation, cco:Resource, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with an explicit resource (personal data) and an action (processing with security and confidentiality), which can be represented using cco:Obligation, cco:Resource, and cco:hasObject properties.",Yes
CQ062,Data Protection,Article 5,"Where the data subject has given consent... the controller should be allowed to further process the personal data irrespective of the compatibility of the purposes.""","Is there a permission for further processing of personal data when the data subject has given consent, regardless of purpose compatibility?","cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with an explicit condition that can be represented using CCO's Permission, Condition, appliesUnder, and hasConditionExpression properties.",Yes
CQ072,Data Protection,Article 9,"the processing of such data may be permitted for reasons of public interest, provided that appropriate safeguards are established.""",What condition applies to the processing of personal data for political opinions during electoral activities?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with an explicit condition (""provided that appropriate safeguards are established""), which can be represented using CCO's Permission, Condition, appliesUnder, and hasConditionExpression properties.",Yes
CQ080,Data Protection,Article 13(2)(b),"the data subject should also be informed [...] of the consequences, where he or she does not provide such data.""",Which obligation specifies that the data subject must be informed about the consequences of not providing personal data?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation that can be represented using CCO's Obligation class, with hasAction for ""informed"" and appliesToRole for ""data subject,"" while the condition and object details are structurally representable through generic CCO classes and properties.",Yes
