cq_id,domain,clause,excerpt,question,cco_elements,dup_of,dup_score,dup_stage
CQ001,Finance,5,"These guidelines specify further the internal governance arrangements... that institutions... should implement...""",Which regulation issues the guidelines that specify internal governance arrangements for institutions?,"cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",,,
CQ002,Finance,14,"These updated guidelines apply from 31 December 2021.""",What is the start date of validity for the regulation that contains these guidelines?,"cco:Regulation, cco:hasValidityStart",,,
CQ003,Finance,15,"The EBA Guidelines on internal governance (EBA/GL/2017/11)... are repealed with effect from 31 December 2021.""",Which regulation supersedes the EBA Guidelines on internal governance (EBA/GL/2017/11)?,"cco:Regulation, cco:supersedes",,,
CQ004,Finance,2,"Competent authority as defined in Article 4(2) of Regulation (EU) No 1093/2010 to whom guidelines apply should comply...""",Which agents are required to comply with the obligation to incorporate these guidelines into their practices?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder",,,
CQ005,Finance,2,"Competent authority... should comply by incorporating them into their practices as appropriate...""",What action must competent authorities take to comply with the obligation regarding these guidelines?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,,
CQ006,Finance,3,"Competent authority must notify the EBA as to whether they comply or intend to comply... by ([dd.mm.yyyy])""",When must competent authorities notify the EBA about their compliance status with these guidelines?,cco:Obligation,,,
CQ007,Finance,3,"Competent authority must notify the EBA as to whether they comply or intend to comply...""",What is the start date of applicability for the obligation requiring notification of compliance to EBA?,cco:Obligation,,,
CQ008,Finance,3,"Notifications should be submitted by persons with appropriate authority to report compliance on behalf of their competent authority.""",Which role must an agent hold in order to be authorized to submit a compliance notification on behalf of a competent authority?,"cco:Obligation, cco:appliesToRole",,,
CQ009,Finance,3,"In the absence of any notification by this deadline, competent authority will be considered by the EBA to be non-compliant.""",What happens if a competent authority does not notify the EBA about compliance by the deadline?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ010,Finance,3,"In the absence of any notification by this deadline, competent authority will be considered by the EBA to be non-compliant.""",Which norm is modified by the condition that non-notification leads to presumed non-compliance?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,,
CQ011,Finance,3,"Notifications should be sent by submitting the form available on the EBA website...""",What resource must be used to submit the compliance notification to the EBA?,"cco:Obligation, cco:Resource, cco:hasObject",,,
CQ012,Finance,3,"submitting the form available on the EBA website to compliance@eba.europa.eu""",To which resource is the compliance notification submitted?,"cco:Obligation, cco:Resource, cco:hasObject",,,
CQ013,Finance,Addressees,"These guidelines are addressed to competent authorities... and to financial institutions...""",Which agents are addressed by the guidelines concerning internal governance arrangements?,"cco:Regulation, cco:appliesToRole, cco:holdsRole, cco:specifiesNorm",,,
