cq_id,domain,clause,excerpt,question,cco_elements,llm_model,llm_assessment,llm_reason
CQ001,Finance,5,"These guidelines specify further the internal governance arrangements... that institutions... should implement...""",Which regulation issues the guidelines that specify internal governance arrangements for institutions?,"cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause can be represented using CCO's Regulation class with specifiesNorm linking to a Norm (e.g., Obligation or Permission), and the question queries which regulation issues these guidelines, which aligns with the issues property from Regulatory Authority Agent to Regulation."
CQ002,Finance,14,"These updated guidelines apply from 31 December 2021.""",What is the start date of validity for the regulation that contains these guidelines?,"cco:Regulation, cco:hasValidityStart",deepseek-ai/DeepSeek-V3.1,Yes,"The clause specifies a validity start date for guidelines, which can be represented using cco:Regulation and cco:hasValidityStart as per the CCO schema."
CQ003,Finance,15,"The EBA Guidelines on internal governance (EBA/GL/2017/11)... are repealed with effect from 31 December 2021.""",Which regulation supersedes the EBA Guidelines on internal governance (EBA/GL/2017/11)?,"cco:Regulation, cco:supersedes",deepseek-ai/DeepSeek-V3.1,Yes,"The clause explicitly states a supersession relationship between regulations, which can be directly represented using the cco:supersedes property between instances of cco:Regulation."
CQ004,Finance,2,"Competent authority as defined in Article 4(2) of Regulation (EU) No 1093/2010 to whom guidelines apply should comply...""",Which agents are required to comply with the obligation to incorporate these guidelines into their practices?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder",deepseek-ai/DeepSeek-V3.1,Yes,"The clause specifies an obligation that applies to a role (""Competent authority"") and can be represented using CCO's Obligation, appliesToRole, and appliesUnder properties with generic class mappings."
CQ005,Finance,2,"Competent authority... should comply by incorporating them into their practices as appropriate...""",What action must competent authorities take to comply with the obligation regarding these guidelines?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with an action (""incorporating them into their practices"") and applies to a role (""competent authority""), which can be represented using cco:Obligation, cco:appliesToRole, and cco:hasAction."
CQ006,Finance,3,"Competent authority must notify the EBA as to whether they comply or intend to comply... by ([dd.mm.yyyy])""",When must competent authorities notify the EBA about their compliance status with these guidelines?,cco:Obligation,deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a specific action, agent role, and temporal condition that can be represented using CCO classes and properties."
CQ008,Finance,3,"Notifications should be submitted by persons with appropriate authority to report compliance on behalf of their competent authority.""",Which role must an agent hold in order to be authorized to submit a compliance notification on behalf of a competent authority?,"cco:Obligation, cco:appliesToRole",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes an obligation for agents holding a specific role to perform an action, which can be represented using CCO classes and properties."
CQ010,Finance,3,"In the absence of any notification by this deadline, competent authority will be considered by the EBA to be non-compliant.""",Which norm is modified by the condition that non-notification leads to presumed non-compliance?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a condition (non-notification by deadline) that modifies a norm (presumed non-compliance), which can be represented using CCO's Exception and Condition classes with the modifiesNorm and hasCondition properties."
CQ011,Finance,3,"Notifications should be sent by submitting the form available on the EBA website...""",What resource must be used to submit the compliance notification to the EBA?,"cco:Obligation, cco:Resource, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause can be represented as an Obligation with a hasObject property pointing to a Resource (the form), and the question queries the specific Resource required for compliance."
CQ012,Finance,3,"submitting the form available on the EBA website to compliance@eba.europa.eu""",To which resource is the compliance notification submitted?,"cco:Obligation, cco:Resource, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause describes an obligation to submit a specific resource (the form) to a designated email address, which can be represented using CCO's Obligation class, hasObject property, and Resource class."
